GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository.tools,Repository,17,27,0,0,7,8,1,2,1,2
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository.tools,Connector,3,0,0,0,1,0,1,0,1,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.service,UserServiceImpl,37,0,0,0,10,0,4,0,4,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.service,CatalogServiceImpl,65,0,2,0,16,0,9,0,8,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.service,PurchaseServiceImpl,220,0,14,0,36,0,26,0,19,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.service,ProductsServiceImpl,120,0,6,0,17,0,17,0,14,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs,Main,36,0,2,0,7,0,3,0,2,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.models.pojo,User,200,113,46,0,1,21,26,18,3,18
JavaLab Maven Webapp,org.margomalanuha.spring.labs.models.pojo,UserType,9,17,0,0,1,4,1,5,1,5
JavaLab Maven Webapp,org.margomalanuha.spring.labs.models.pojo,Catalog,179,0,26,0,12,0,26,0,13,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.models.pojo,Product,27,58,0,0,1,12,1,11,1,11
JavaLab Maven Webapp,org.margomalanuha.spring.labs.models.pojo,Purchase,217,0,28,0,15,0,30,0,16,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.models.pojo,BasketItem,45,0,0,0,10,0,9,0,9,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.controllers,CatalogController,30,0,0,0,11,0,6,0,6,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.controllers,ProductsController,20,0,0,0,6,0,4,0,4,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.controllers,BasketController,44,0,0,0,14,0,8,0,8,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.controllers,UserController,19,0,0,0,6,0,3,0,3,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.controllers,SearchController,22,0,0,0,6,0,4,0,4,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.controllers,AdminController,33,0,0,0,7,0,7,0,7,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository,PurchaseRepository,139,0,0,0,19,0,7,0,7,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository,UserRepository,22,151,0,0,4,23,1,6,1,6
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository,CatalogRepository,108,0,0,0,16,0,7,0,7,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository,UserTypeRepository,69,25,0,0,8,6,4,3,4,3
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository,ProductRepository,20,106,0,0,4,17,2,6,2,6
JavaLab Maven Webapp,org.margomalanuha.spring.labs.repository,BasketItemRepository,107,0,0,0,17,0,7,0,7,0
JavaLab Maven Webapp,org.margomalanuha.spring.labs.config,Config,3,0,0,0,1,0,1,0,1,0
